Nama orang,Pangkat,talent_cluster,indeks_kesehatan,nilai_Kompetensi,nilai_Behavior,absen_tertekan,absen_nyaman,absen_semangat,engagement_ucapan,engagement_tinggal,engagement_berjuang,performansi_individu
2917,I,HIGH POTENTIAL,B2,1.78,4.53,0,1,27,6.67,6.67,7,101.84
2918,I,POTENTIAL,B2,1.62,4.44,0,0,105,6.33,6.67,7,103.3
2919,III,POTENTIAL,B1,1.21,4.31,0,0,217,5,6,5.33,106.24
2920,III,POTENTIAL,B1,0.72,3.22,0,1,185,6.33,7,7,109.34
2921,III,VERY HIGH POTENTIAL,B3,0.88,3.83,0,5,102,7,7,6,106.17
2922,III,VERY HIGH POTENTIAL,B2,0.96,4.16,0,1,229,6.33,6,7,98.37
2923,I,VERY HIGH POTENTIAL,B2,1.36,4.27,0,4,22,6.67,7,7,91.21
2924,III,POTENTIAL,B2,1.37,4.38,0,4,199,7,6.67,7,100.59
2925,III,POTENTIAL,B1,0.97,4.01,0,1,152,5,5,5,90.01
2926,II,POTENTIAL,B1,0.54,4.49,0,0,156,5.67,6,6,93.63
2927,II,HIGH POTENTIAL,B1,1.4,4.68,2,0,158,6.67,7,7,97.31
2928,III,POTENTIAL,B2,0.83,3.97,1,1,164,5.67,5.67,6,103.35
2929,III,POTENTIAL,0,1.08,4.09,0,0,168,6,6,6,96.9
2930,II,HIGH POTENTIAL,B2,1.05,4.6,0,1,232,6.33,7,7,102.09
2931,II,POTENTIAL,B3,0.89,3.83,#N/A,#N/A,#N/A,6.67,5.33,7,#N/A
2932,I,POTENTIAL,0,0.9,4.26,#N/A,#N/A,#N/A,6.33,6.33,6.67,#N/A
2933,II,POTENTIAL,B3,1.03,3.75,21,0,165,7,6.67,7,99.53
2934,III,POTENTIAL,0,0.8,4.1,0,0,108,5,5,5.33,96.79
2935,III,POTENTIAL,B1,0.46,3.12,0,1,161,6,5.67,6.33,104.52
2936,III,POTENTIAL,C,1.19,4.4,0,8,100,7,6.67,7,98.15
2937,II,POTENTIAL,0,1.32,4.74,0,0,3,6,6,7,#N/A
2938,III,POTENTIAL,A,0.97,3.41,1,0,175,7,7,7,100.87
2939,III,POTENTIAL,B1,1.06,4.34,0,0,8,6,5.67,7,101.93
2940,III,HIGH POTENTIAL,B2,1,4.12,0,0,89,6.67,7,7,103.02
2941,II,POTENTIAL,B1,0.71,3.49,0,0,203,5.33,6,5.67,102.12
2942,II,POTENTIAL,B2,1.09,3.87,0,212,0,6.33,6,6,104.66
2943,II,POTENTIAL,B3,1.3,4.37,0,0,119,6,6,6,99.32
2944,II,HIGH POTENTIAL,B3,1.32,3.72,4,4,164,6.33,6,7,110.73
2945,II,POTENTIAL,B2,0.89,3.98,0,10,98,6.67,6.67,6.33,102.71
2946,III,POTENTIAL,B2,1.43,4.58,26,36,10,7,7,7,102.1
2947,III,POTENTIAL,B2,1.02,4.11,0,2,177,5,5,5,97.21
2948,II,VERY HIGH POTENTIAL,B1,1.26,4.89,0,0,63,5,5,5.67,101.81
2949,III,POTENTIAL,B3,1.33,4.5,0,0,214,6,7,6.67,100.59
2950,III,POTENTIAL,B2,1.35,4.36,2,1,173,6.33,6.67,6.67,96.96
2951,III,POTENTIAL,B2,0.68,3.14,0,1,233,5.33,6,5.67,90.94
2952,IV,POTENTIAL,B2,1.08,3.33,2,0,162,5,4.67,5,99.57
2953,II,POTENTIAL,B1,0.94,3.84,0,173,0,6,6.67,6.33,95.89
2954,II,POTENTIAL,B3,1.2,3.62,0,3,207,6,6,6.33,110.75
2955,III,POTENTIAL,0,1.21,3.99,0,7,5,6.33,6,7,#N/A
2956,I,POTENTIAL,B3,0.64,4.25,0,0,38,6,6,6,#N/A
2957,III,HIGH POTENTIAL,B1,0.76,3.57,0,0,89,6,5.67,6,101.9
2958,III,POTENTIAL,B1,0.38,3.53,0,5,175,7,7,7,94.62
2959,II,POTENTIAL,B3,1.07,4.32,#N/A,#N/A,#N/A,6.33,6,6,101.21
2960,III,POTENTIAL,B2,0.28,3.42,0,54,178,7,7,7,102.75
2961,III,POTENTIAL,0,1.17,3.92,0,0,56,5,4,5.67,#N/A
2962,III,POTENTIAL,B1,1.22,4.08,0,0,160,6,6,6,96.18
2963,II,POTENTIAL,0,1.41,4.63,0,12,126,5.33,6,6,#N/A
2964,IV,POTENTIAL,B2,1.36,4.65,1,0,197,6.67,7,6.67,98.47
2965,II,POTENTIAL,B3,0.83,3.79,0,46,89,7,6.33,6.33,102.39
2966,III,POTENTIAL,B2,0.71,3.77,2,3,88,5.67,4.67,4.33,103.16
2967,III,POTENTIAL,B1,0.83,3.4,0,0,181,7,7,7,96
2968,III,POTENTIAL,B1,1.25,4.28,0,1,226,7,7,7,96.43
2969,II,POTENTIAL,B2,1.47,4.4,1,1,121,7,7,7,96
2970,II,HIGH POTENTIAL,B2,1.01,4.19,0,1,98,7,7,7,103.71
2971,III,POTENTIAL,B1,1.14,4.23,0,0,209,7,7,7,97.69
2972,III,HIGH POTENTIAL,B3,1.38,4.49,0,5,129,4.67,4,5,96.76
2973,II,POTENTIAL,0,0.83,3.56,0,0,4,6.33,6.67,6.33,#N/A
2974,III,POTENTIAL,0,0.54,2.91,0,0,4,5.33,5.33,5,97.65
2975,III,HIGH POTENTIAL,B1,0.97,3.91,0,1,206,6.67,7,7,90.4
2976,IV,POTENTIAL,B3,1.46,4.47,0,222,1,6.33,7,7,102.22
2977,III,POTENTIAL,B1,1.23,3.91,4,13,175,7,7,7,96.01
2978,III,POTENTIAL,B3,0.49,3.65,1,177,3,7,7,7,102.66
2979,II,POTENTIAL,C,1.06,4.38,0,0,1,7,7,7,97.98
2980,I,POTENTIAL,B3,0.97,4.42,0,1,57,7,7,7,101.93
2981,III,HIGH POTENTIAL,B1,1.4,4.18,0,0,113,7,5.67,6.67,100.02
2982,II,POTENTIAL,B3,1.39,4.12,0,24,176,6.33,6,6,109.48
2983,II,POTENTIAL,B2,1.29,3.79,0,5,55,6,5.67,6,105.16
2984,V,POTENTIAL,B1,0.74,3.49,1,0,155,5.67,5.67,5,100.64
2985,IV,POTENTIAL,B1,1.1,3.65,1,0,218,5,6,6,99.53
2986,III,POTENTIAL,B2,0.94,3.46,0,1,224,6.67,6,6,101.52
2987,II,POTENTIAL,B2,0.24,3.35,3,5,61,7,7,7,#N/A
2988,III,POTENTIAL,0,0.9,3.38,0,5,212,5,5,5,100.66
2989,III,POTENTIAL,C,0.7,3.17,0,5,5,6,6.33,7,#N/A
2990,IV,HIGH POTENTIAL,B2,1.28,4.24,0,6,163,7,6.67,7,106.26
2991,IV,POTENTIAL,A,1.42,3.6,0,7,192,5.33,6,6,97.07
2992,V,POTENTIAL,B1,0.52,2.66,0,3,203,6,6.33,5.67,106.36
2993,IV,POTENTIAL,B1,0.88,3.29,0,0,180,6.33,7,7,98.73
2994,IV,POTENTIAL,B2,1.27,4.3,0,0,91,7,7,7,98.05
2995,IV,POTENTIAL,B2,1.04,4,1,1,185,6,7,6,98.12
2996,IV,POTENTIAL,B1,1.22,4.48,0,225,0,6.33,6,6,100.04
2997,IV,POTENTIAL,B2,0.91,3.5,57,6,137,6.67,7,7,102.27
2998,IV,POTENTIAL,C,0.95,3.92,0,1,146,6.67,6.33,7,103.87
2999,V,POTENTIAL,B3,1.09,3.09,0,2,231,5.67,7,7,102.92
3000,V,POTENTIAL,C,1.34,3.57,0,1,160,7,7,7,97.07
3001,V,POTENTIAL,B2,0.82,3.35,0,16,152,7,7,7,99.82
3002,V,POTENTIAL,B2,1.27,3.61,4,2,163,5.67,6,5.67,99.43
3003,V,POTENTIAL,C,1.31,4.14,0,41,145,5.67,7,7,97.07
3004,IV,POTENTIAL,C,0.65,3.46,9,4,165,6.67,7,7,98.86
3005,V,POTENTIAL,B2,1.24,4.25,0,0,202,6.33,6,6,102.58
3006,IV,HIGH POTENTIAL,B2,1.35,3.83,0,19,186,6.67,6.67,6,98.76
3007,IV,POTENTIAL,B2,1.41,4.28,2,150,31,6.67,6.33,7,96.52
3008,V,POTENTIAL,C,0.8,2.93,0,0,115,4.67,5,5,103.68
3009,IV,POTENTIAL,B3,1.13,3.62,0,11,187,5,5.67,6,100.77
3010,V,POTENTIAL,B3,1.27,3.69,0,9,188,5.33,6,6.33,97.07
3011,V,POTENTIAL,B3,1.41,4.12,0,3,156,5,7,7,97.07
3012,V,POTENTIAL,B2,1.41,3.71,0,170,4,5.33,7,6.33,96.52
3013,VI,POTENTIAL,0,0.5,2.83,0,3,197,5.67,5.67,5.67,#N/A
3014,IV,POTENTIAL,A,1.48,3.89,2,13,206,6,6,7,96.49
3015,V,POTENTIAL,B2,1.15,3.17,0,0,173,5.33,6.67,6,97.07
3016,V,POTENTIAL,B1,1.4,3.89,0,1,214,4.33,5.67,6,97.07
3017,V,POTENTIAL,B2,0.98,3.12,2,1,226,7,7,6.33,97.11
3018,V,POTENTIAL,C,0.89,3.32,0,0,166,5.33,6,6.67,98.11
3019,V,POTENTIAL,B2,0.84,3.35,0,0,175,6.67,7,7,99.73
3020,V,HIGH POTENTIAL,B2,0.92,4.16,0,3,210,6.33,7,6.33,97.79
3021,V,POTENTIAL,B2,1.41,3.91,0,1,208,7,7,7,96.93
3022,V,POTENTIAL,C,0.53,3.41,0,1,220,4,6,5,97.05
3023,V,POTENTIAL,B2,1.16,3.58,0,0,194,5,6.33,5,97.62
3024,V,POTENTIAL,B2,1.09,3.86,0,8,221,6.67,7,6.33,98.42
3025,V,POTENTIAL,B1,1.13,3.58,0,0,177,7,7,7,97.94
3026,IV,POTENTIAL,B1,1.02,2.66,0,0,227,5,7,7,97.03
3027,IV,POTENTIAL,B1,1.13,4.01,0,0,229,6.67,7,7,99.54
3028,V,POTENTIAL,B3,1.25,4.09,0,0,234,5.33,7,6.67,97.79
3029,IV,POTENTIAL,B2,1.02,3.66,0,1,173,6.33,6.67,6,96.02
3030,VI,POTENTIAL,B3,1.34,4.08,9,1,220,6.67,6.67,6.33,98.85
3031,V,POTENTIAL,B2,1.15,4.29,0,2,168,6,6,6,98.04
3032,IV,POTENTIAL,B3,0.95,3.5,0,2,167,6.67,6.67,7,99.27
3033,V,POTENTIAL,B3,1.42,4.59,0,0,214,6.33,6.67,7,98.12
3034,IV,POTENTIAL,B3,1.11,3.76,0,0,43,5.33,6,6,99.45
3035,V,POTENTIAL,B3,1.04,3.42,0,0,185,4.67,6.33,6,99.27
3036,IV,POTENTIAL,B2,1.32,3.93,0,0,202,6.67,7,7,99.04
3037,IV,POTENTIAL,B3,1.4,4.56,0,0,193,7,6.67,7,98.12
3038,V,POTENTIAL,B3,0.75,3.34,0,1,223,5.67,6.67,6.67,100.56
3039,IV,POTENTIAL,B3,1.24,4.24,0,0,182,5,6.67,6.67,98.12
3040,IV,POTENTIAL,C,1.03,3.94,0,150,65,6,7,7,99.45
3041,V,POTENTIAL,B2,1.29,3.37,0,4,207,5,4.33,6.33,99.27
3042,IV,POTENTIAL,B2,1.08,4.13,0,0,181,5.67,5.33,5.33,99.45
3043,V,POTENTIAL,B3,0.37,2.61,0,2,219,6.33,7,7,100.44
3044,V,POTENTIAL,B2,1.23,4.04,0,4,164,5.33,5.33,5.67,99.27
3045,V,POTENTIAL,B3,1.29,4.23,0,0,200,5.67,5.67,6,98.12
3046,IV,POTENTIAL,0,1.33,4.38,0,0,97,6,6,6,#N/A
3047,V,POTENTIAL,B2,0.77,3.17,0,3,222,6.33,6.67,6.33,100.03
3048,IV,POTENTIAL,B3,1.34,4.03,0,0,211,7,7,6,99.15
3049,IV,POTENTIAL,B1,1.3,3.96,3,1,176,5,7,7,99.04
3050,IV,POTENTIAL,B1,1.2,3.87,0,0,190,6.33,6.67,6.33,100.36
3051,V,POTENTIAL,A,1.35,3.92,0,1,207,4.67,5,5,99.53
3052,IV,POTENTIAL,B3,1.01,3.7,0,0,218,5,7,6,99.46
3053,VI,POTENTIAL,B2,0.92,4.45,0,2,183,6.33,7,7,99.04
3054,V,POTENTIAL,B3,1.28,4.02,0,8,198,7,6.67,7,100.75
3055,V,POTENTIAL,B3,1.26,4.42,0,2,181,6.33,6.33,6.67,100.27
3056,IV,POTENTIAL,B1,1.28,4.09,0,0,220,5.67,7,6.33,103.67
3057,V,POTENTIAL,B2,1.39,3.72,0,0,216,5.33,6.33,6,103.01
3058,VI,POTENTIAL,B2,0.58,3.02,0,3,228,5,5.67,5,103.01
3059,IV,POTENTIAL,B1,1.3,4.44,1,0,235,6,7,7,100.03
3060,V,POTENTIAL,C,1.53,4.36,0,0,214,5.67,7,7,103.01
3061,IV,POTENTIAL,B2,1.2,3.86,0,0,224,5.33,5.33,5.67,100.02
3062,IV,POTENTIAL,B1,0.83,3.75,0,0,198,6,6.67,6,100.06
3063,VI,POTENTIAL,B2,1.28,4.34,1,4,220,5.33,6.67,7,103.01
3064,IV,POTENTIAL,B1,0.69,3.32,0,225,23,6.67,5,6.33,103.06
3065,IV,POTENTIAL,B1,0.58,3.33,0,0,227,6.33,6,6.67,103.06
3066,V,POTENTIAL,B1,0.8,3.85,0,0,196,5,7,6,103.06
3067,V,POTENTIAL,B2,1.34,3.93,0,0,218,5.67,6,6.33,100.03
3068,III,POTENTIAL,A,0.9,4.41,0,0,212,6.67,7,7,103.06
3069,IV,POTENTIAL,B1,0.79,3.51,1,3,191,7,7,7,103.41
3070,V,POTENTIAL,B1,1.07,3.85,0,4,212,7,6.33,6.67,103.42
3071,V,POTENTIAL,B2,1.21,3.55,4,116,64,6.67,7,7,96.52
3072,V,POTENTIAL,B3,1.23,4.1,0,3,173,4.33,5.33,5,101.96
3073,V,POTENTIAL,B3,0.89,3.69,0,5,181,6.67,7,7,98.76
3074,IV,POTENTIAL,B3,1.23,4,0,1,218,6,6.33,6.33,104.8
3075,IV,POTENTIAL,B3,0.79,3.42,1,1,172,7,6.67,7,103.82
3076,IV,POTENTIAL,B2,0.98,3.31,0,0,197,5.33,6.67,6.33,103.47
3077,V,POTENTIAL,C,0.88,3.03,0,15,150,6.33,7,6,101.45
3078,V,POTENTIAL,B2,0.37,2.71,1,91,125,5.67,6.33,6.33,103.01
3079,IV,POTENTIAL,B2,1,3.42,0,0,156,6.67,7,6.67,103.47
3080,IV,POTENTIAL,B2,1.27,3.52,0,0,240,5,7,7,103.03
3081,VI,POTENTIAL,B3,1.05,3.72,0,177,26,5.67,6,6,96.18
3082,V,POTENTIAL,B1,1.37,3.61,0,0,166,5.33,6.67,6.67,102.66
3083,V,POTENTIAL,B2,1.03,3.69,1,0,143,7,7,7,103.27
3084,IV,POTENTIAL,B2,1.08,3.73,0,1,213,6.67,7,6.67,99.29
3085,IV,POTENTIAL,B2,1.09,4.28,0,3,202,7,6.67,7,97.55
3086,V,POTENTIAL,B3,1.53,4.09,3,0,154,6.67,5,6,98.47
3087,VI,POTENTIAL,C,1.03,3.53,0,0,172,7,7,7,97.01
3088,V,POTENTIAL,B1,1.28,3.47,0,17,171,5,5.67,5.67,97.31
3089,IV,POTENTIAL,B2,0.89,3.94,2,1,179,7,7,7,98.86
3090,V,POTENTIAL,C,1.06,3.3,0,3,176,5.67,6.33,6.33,96.69
3091,V,POTENTIAL,B2,1.37,3.9,1,20,205,5.33,7,7,96.96
3092,V,POTENTIAL,B2,0.98,3.78,2,45,123,5.33,6.67,6.67,96.69
3093,V,POTENTIAL,B2,1.08,4.04,0,0,164,5.67,6.67,6.33,97.89
3094,V,POTENTIAL,B2,0.86,3.09,0,7,153,6.33,7,6,98.79
3095,IV,POTENTIAL,B1,1.03,3.85,1,5,179,5.33,5.33,6,96.96
3096,IV,POTENTIAL,B3,1.41,4.29,7,1,159,5.67,5.67,6.67,96.69
3097,V,POTENTIAL,B1,1.18,3.57,0,0,166,7,6.67,7,98.41
3098,IV,POTENTIAL,B1,0.65,3.97,0,176,1,5.67,6,7,98.86
3099,V,POTENTIAL,B1,0.95,3.71,0,0,172,4,6.33,6,97.07
3100,IV,POTENTIAL,C,1.22,4.36,0,1,223,5.33,6,6.67,96.96
3101,V,POTENTIAL,C,1.04,3.68,0,2,165,5,6,5.67,103.44
3102,IV,POTENTIAL,B2,1.24,3.74,4,29,135,5.33,6,6,103
3103,IV,POTENTIAL,B3,1.35,4.22,0,0,191,5.67,6,6,103.5
3104,IV,POTENTIAL,B3,1.34,3.49,4,8,144,4.67,6.67,6.67,103.01
3105,IV,POTENTIAL,C,1.19,3.36,0,14,184,6.33,7,6.33,103
3106,IV,POTENTIAL,0,1.03,3.67,0,1,3,7,7,7,#N/A
3107,III,POTENTIAL,C,1.18,4.24,0,0,208,5.33,6.33,6,103.12
3108,IV,POTENTIAL,B3,1.05,3.51,1,0,144,5,7,6.33,103.01
3109,V,POTENTIAL,B2,0.46,2.89,1,3,210,6,5.67,6,102.67
3110,V,VERY HIGH POTENTIAL,B3,0.43,2.68,0,5,214,5.67,5.33,6.33,113.26
3111,V,POTENTIAL,B3,0.57,3.02,0,10,172,4.67,5.67,6.33,100.24
3112,V,POTENTIAL,C,1.1,4.14,0,2,216,5.67,6.67,6.33,97.05
3113,IV,POTENTIAL,B3,0.69,3.62,0,2,168,6,6,6,97.01
3114,IV,POTENTIAL,C,1.05,3.74,0,0,179,6.33,7,7,97.01
3115,V,POTENTIAL,B3,0.31,2.93,0,0,221,6.33,6.67,7,96.07
3116,V,POTENTIAL,B3,0.98,3.26,4,0,183,4.33,6.67,5.67,99.06
3117,V,POTENTIAL,C,0.57,3.06,1,1,173,5.67,6.33,7,99.44
3118,IV,POTENTIAL,B3,1.18,3.71,0,0,223,6,6,6.67,97.05
3119,III,HIGH POTENTIAL,B3,1.29,4.09,0,0,155,6.33,7,7,101.49
3120,IV,POTENTIAL,0,1,3.79,#N/A,#N/A,#N/A,6,6,5,#N/A
3121,III,POTENTIAL,0,1.2,4.18,#N/A,#N/A,#N/A,7,6,6.67,#N/A
3122,IV,POTENTIAL,0,1.29,3.46,#N/A,#N/A,#N/A,5,5,5,#N/A
3123,II,POTENTIAL,0,0.01,2.36,#N/A,#N/A,#N/A,4.67,5,5,#N/A
3124,IV,POTENTIAL,0,0.73,3.25,#N/A,#N/A,#N/A,6.67,6,6.33,#N/A
3125,VI,POTENTIAL,0,0.65,3.42,0,1,191,4.33,5.67,6.33,#N/A
3126,V,POTENTIAL,0,0.12,2.52,#N/A,#N/A,#N/A,5.67,7,6,#N/A
3127,IV,POTENTIAL,0,0.72,2.98,0,17,173,5.33,6,5.67,#N/A
3128,VI,POTENTIAL,0,0.74,3.14,0,0,170,6,6,6,#N/A
3129,III,POTENTIAL,0,0.43,3.34,0,0,2,6,6,6,#N/A
3130,,POTENTIAL,0,0.88,3.61,#N/A,#N/A,#N/A,6.33,5,6,#N/A
3131,,POTENTIAL,0,0.56,3.19,#N/A,#N/A,#N/A,7,6.33,6,#N/A
3132,,POTENTIAL,0,1.03,3.49,#N/A,#N/A,#N/A,6,7,6.67,#N/A
3133,,POTENTIAL,0,1.04,2.79,#N/A,#N/A,#N/A,6.33,7,7,#N/A
3134,,POTENTIAL,0,1.2,4.16,#N/A,#N/A,#N/A,5.67,5,6,#N/A
3135,,POTENTIAL,0,0.62,3.53,#N/A,#N/A,#N/A,5.33,6,5,#N/A
3136,IV,POTENTIAL,0,0.93,3.53,#N/A,#N/A,#N/A,6,6.67,6,#N/A
3137,III,POTENTIAL,0,1.2,4.16,#N/A,#N/A,#N/A,6.67,6.67,7,#N/A
3138,IV,POTENTIAL,0,1.45,4.06,0,0,3,5.33,5,6,#N/A
3139,II,POTENTIAL,0,1.5,3.94,0,5,17,5.67,5,5.67,#N/A
3140,III,POTENTIAL,0,0.87,3.43,0,11,29,6.33,6.67,6.67,#N/A
3141,III,POTENTIAL,0,0.7,3.49,1,5,31,5,5.67,5,#N/A
3142,III,POTENTIAL,0,1.51,3.36,2,16,29,6,6,6,#N/A
3143,III,POTENTIAL,0,0.51,3.37,0,17,39,5,5.67,5,#N/A
3144,IV,POTENTIAL,0,0.7,2.92,1,61,1,5,5.67,5,#N/A
3145,II,POTENTIAL,0,0.69,3.15,#N/A,#N/A,#N/A,6.33,5.67,7,#N/A
3146,VII,POTENTIAL,0,1.21,3.52,0,7,155,5.33,5.67,6.33,#N/A
3147,IV,POTENTIAL,0,1.74,4.48,0,2,111,5,5.67,6,#N/A
3148,V,POTENTIAL,0,0.84,3.09,0,0,68,7,7,7,#N/A
3149,V,POTENTIAL,B2,0.83,3.4,0,0,190,7,7,7,96.96
3150,IV,POTENTIAL,B2,1.15,4.01,8,13,192,6,6.67,6,103.04
3151,IV,POTENTIAL,B2,1.18,3.84,1,18,184,6.67,6.33,6.33,#N/A
3152,IV,POTENTIAL,B2,0.97,3.9,0,0,228,6,6,6.33,98.82
3153,IV,POTENTIAL,B3,1.25,4.17,0,2,182,6,6,6,99.27
3154,IV,POTENTIAL,B3,1.22,3.94,2,0,212,5,5,5,103.04
3155,IV,POTENTIAL,B2,1.2,4.59,0,54,134,6,5.67,5.67,97.69
3156,IV,POTENTIAL,B1,0.98,3.57,0,9,205,6,6,6,97.69
3157,III,POTENTIAL,A,0.99,4.52,0,2,191,6.67,6,6,103.06
3158,V,POTENTIAL,B1,1.18,3.09,0,0,196,6,6,6,103.96
3159,V,POTENTIAL,B3,0.94,3.24,0,5,128,5,5,5,#N/A
3160,IV,POTENTIAL,B2,1.28,3.9,0,0,180,6.33,7,6.67,101.57
3161,IV,POTENTIAL,B3,0.92,3.51,0,0,226,4.67,6,6,103.01
3162,III,POTENTIAL,B2,1.27,4.36,1,0,49,6.67,7,7,103.13
3163,IV,POTENTIAL,B1,1,3.86,0,0,220,5.67,6,6,97.21
3164,IV,POTENTIAL,B3,1.26,3.95,0,41,170,6.33,6,6.67,99.09
3165,IV,POTENTIAL,B1,1.15,3.85,0,2,86,6,6,6,103.09
3166,V,HIGH POTENTIAL,B3,0.85,3.35,0,2,179,6.33,7,7,101.41
3167,IV,POTENTIAL,B2,1.18,4.02,0,6,214,5.67,6,6,98.04
3168,III,POTENTIAL,B1,1.14,3.91,0,9,152,7,7,7,99.1
3169,III,POTENTIAL,C,1.05,4.17,1,2,169,6.67,7,7,96.18
3170,III,POTENTIAL,B2,1.03,4.19,1,1,202,6.67,7,7,103.68
3171,IV,POTENTIAL,B3,1.28,4.19,1,125,56,5,5,5,97.01
3172,IV,POTENTIAL,C,1.07,3.8,0,0,211,5.67,7,7,103.68
3173,IV,POTENTIAL,C,1.08,4.44,0,1,174,6.67,7,6.67,97.75
3174,IV,POTENTIAL,B2,1.22,3.49,0,9,180,7,7,6.33,96.18
3175,IV,POTENTIAL,B2,0.76,3.07,0,0,231,6,7,6.33,99.11
3176,IV,POTENTIAL,B3,1.11,4.23,0,2,231,6,6.67,7,103.01
3177,III,POTENTIAL,B2,1.22,4,108,77,18,5,6,6.33,99.53
3178,IV,POTENTIAL,B2,1.05,3.12,0,4,160,5.33,6,6,102.4
3179,IV,POTENTIAL,A,1.13,3.76,0,3,207,5,4.67,5.33,96.43
3180,IV,HIGH POTENTIAL,B3,1.2,3.68,0,35,132,7,6,7,96.43
3181,III,POTENTIAL,B1,0.9,3.47,2,0,195,5,4.33,5,103.06
3182,IV,POTENTIAL,B2,0.65,4.08,0,0,200,6.33,7,7,103.06
3183,V,POTENTIAL,B3,1.05,3.25,0,0,204,5,6,5,96.76
3184,IV,POTENTIAL,B2,1.4,3.97,14,2,177,5.67,6,6,97.13
3185,IV,POTENTIAL,B2,1.2,3.18,0,0,133,4.67,7,6.33,103.34
3186,IV,HIGH POTENTIAL,B2,1.18,3.82,0,2,213,5,5.67,6,96.01
3187,IV,POTENTIAL,C,1.07,3.25,0,116,74,5,5,5,106.01
3188,III,POTENTIAL,B3,0.98,3.89,0,0,185,7,7,7,103.68
3189,IV,POTENTIAL,B2,1.36,4.21,19,122,13,6.67,5,6,96.41
3190,IV,POTENTIAL,C,0.59,3.41,0,8,204,5,4.67,5.33,97.05
3191,IV,POTENTIAL,B1,1.02,3.66,7,1,190,5.67,6,6,98.39
3192,III,POTENTIAL,B1,1.02,4.24,0,126,71,7,7,7,102.5
3193,III,POTENTIAL,B3,0.94,4.13,0,2,187,7,7,7,97.35
3194,III,POTENTIAL,B3,0.96,3.84,0,1,144,7,7,7,96.22
3195,V,HIGH POTENTIAL,B2,0.65,3.42,0,79,152,6.67,6.67,6.33,99.27
3196,III,POTENTIAL,B2,0.92,3.82,0,0,199,7,7,7,102.27
3197,III,HIGH POTENTIAL,B2,1.22,4.64,1,5,219,7,7,7,97.27
3198,IV,POTENTIAL,B3,1.44,3.43,0,4,204,5.33,6,6,97.01
3199,IV,POTENTIAL,B1,1.12,3.71,0,0,192,5.33,5,5.33,99.04
3200,IV,POTENTIAL,B2,1.31,3.92,0,0,164,6.67,7,6.67,97.01
3201,IV,POTENTIAL,0,1.37,4.4,0,2,66,6,6,6,100.67
3202,IV,POTENTIAL,B2,1.35,4.45,0,0,228,5.67,5.67,5.67,103.03
3203,IV,HIGH POTENTIAL,B1,1.24,3.75,0,186,0,7,7,7,99.01
3204,III,POTENTIAL,B3,1.33,4.31,0,0,181,6,6,6,99.07
3205,IV,HIGH POTENTIAL,B3,1.16,4.09,0,0,222,7,6.33,7,97.79
3206,V,POTENTIAL,B2,0.92,3.44,1,0,223,6.33,6.67,6.67,100.69
3207,III,POTENTIAL,B3,0.84,3.44,1,13,187,6.33,6.67,7,98.08
3208,II,POTENTIAL,B3,0.94,4.59,0,0,163,6,7,7,97.91
3209,IV,POTENTIAL,C,1.09,3.87,18,2,169,7,7,7,99.6
3210,IV,POTENTIAL,B2,1.03,4,0,0,164,6,6.67,5.33,102.66
3211,III,POTENTIAL,B1,1.39,4.35,0,2,195,6,6,7,98.76
3212,III,HIGH POTENTIAL,0,1.36,4.44,0,231,1,5,7,7,96.43
3213,III,POTENTIAL,0,1.04,4.36,1,27,120,5.33,5,6,#N/A
3214,IV,POTENTIAL,B1,0.24,3.6,0,0,172,3,6,6,102.77
3215,IV,POTENTIAL,B2,1.08,3.74,#N/A,#N/A,#N/A,7,7,7,99.45
3216,IV,POTENTIAL,B2,1.21,4.13,1,2,165,6,6,6,99.45
3217,III,POTENTIAL,B3,0.67,3.45,0,3,94,7,6.67,6,96.57
3218,IV,POTENTIAL,B1,0.85,3.5,0,0,183,5.67,6,6.33,97.85
3219,IV,POTENTIAL,B2,1.16,4.19,0,0,199,5.67,5,5,99.01
3220,IV,POTENTIAL,B2,1.15,3.91,1,0,189,7,6.67,6,98.15
3221,IV,HIGH POTENTIAL,B2,1.28,4.02,0,8,30,5.67,5.67,5.67,90.06
3222,IV,POTENTIAL,B2,1.31,4.26,0,144,79,7,7,7,97.02
3223,III,POTENTIAL,B3,1.14,4.14,3,7,210,7,7,7,99.73
3224,III,POTENTIAL,B2,1.23,3.87,0,5,190,7,7,7,99.45
3225,IV,POTENTIAL,B1,1.28,3.66,2,8,151,5.33,5,5,90.04
3226,III,POTENTIAL,B2,0.76,3.91,71,132,0,5,5,5.67,98.09
3227,V,POTENTIAL,B2,1.28,4,0,1,193,5,6.33,6.33,96.96
3228,V,POTENTIAL,B2,1.47,3.87,1,0,170,6.33,6.33,5.67,96.69
3229,II,POTENTIAL,0,0.9,3.51,0,1,0,6.33,6,6.33,#N/A
3230,II,POTENTIAL,B2,0.99,4.34,0,0,143,6,5,6,#N/A
3231,II,POTENTIAL,0,0.91,3.79,0,1,14,6.67,6,6.67,#N/A
3232,IV,POTENTIAL,B1,0.88,3.29,125,0,0,5,5,4,102.27
3233,III,POTENTIAL,B1,1.28,4.41,0,3,210,6,5.67,6,103.08
3234,II,POTENTIAL,B3,-0.33,3.06,0,0,1,7,7,7,99.25
3235,III,POTENTIAL,B2,1,4.21,0,14,146,6,6,6,103.88
